,State,P_ACT,S_ACT,Year,P_SAT,S_SAT
0,Alabama,1.0,0.5352941176470588,2017,0.05,0.6375
1,Alaska,0.65,0.5529411764705883,2017,0.38,0.5666666666666667
2,Arizona,0.62,0.5499999999999999,2017,0.3,0.5966666666666667
3,Arkansas,1.0,0.5411764705882353,2017,0.03,0.6733333333333333
4,California,0.31,0.6411764705882353,2017,0.53,0.5458333333333333
5,Colorado,1.0,0.5823529411764706,2017,0.11,0.6675
6,Connecticut,0.31,0.711764705882353,2017,1.0,0.5341666666666667
7,Delaware,0.18,0.6794117647058824,2017,1.0,0.49666666666666665
8,District Of Columbia,0.32,0.6823529411764706,2017,1.0,0.4583333333333333
9,Florida,0.73,0.5529411764705883,2017,0.83,0.5141666666666667
10,Georgia,0.55,0.6,2017,0.61,0.5416666666666666
11,Hawaii,0.9,0.5294117647058824,2017,0.55,0.5708333333333333
12,Idaho,0.38,0.6264705882352941,2017,0.93,0.5041666666666667
13,Illinois,0.93,0.6,2017,0.09,0.5958333333333333
14,Indiana,0.35,0.6352941176470589,2017,0.63,0.5616666666666666
15,Iowa,0.67,0.6147058823529411,2017,0.02,0.7291666666666666
16,Kansas,0.73,0.6088235294117647,2017,0.04,0.7166666666666667
17,Kentucky,1.0,0.5588235294117647,2017,0.04,0.7058333333333333
18,Louisiana,1.0,0.5441176470588235,2017,0.04,0.665
19,Maine,0.08,0.6852941176470588,2017,0.95,0.51
20,Maryland,0.28,0.6647058823529413,2017,0.69,0.55
21,Massachusetts,0.29,0.7176470588235294,2017,0.76,0.5891666666666666
22,Michigan,0.29,0.6794117647058824,2017,1.0,0.5041666666666667
23,Minnesota,1.0,0.6029411764705882,2017,0.03,0.7458333333333333
24,Mississippi,1.0,0.5176470588235295,2017,0.02,0.7016666666666667
25,Missouri,1.0,0.5705882352941176,2017,0.03,0.7258333333333333
26,Montana,1.0,0.5676470588235294,2017,0.1,0.6633333333333333
27,Nebraska,0.84,0.6,2017,0.03,0.7108333333333333
28,Nevada,1.0,0.49411764705882355,2017,0.26,0.5966666666666667
29,New Hampshire,0.18,0.7205882352941176,2017,0.96,0.5433333333333333
30,New Jersey,0.34,0.6735294117647058,2017,0.7,0.5466666666666666
31,New Mexico,0.66,0.5499999999999999,2017,0.11,0.615
32,New York,0.31,0.6823529411764706,2017,0.67,0.5433333333333333
