,State,tot_mean_score_2021,erw_mean_score_2021,math_mean_score_2021,part_2021
0,Alabama ,1159,591,568,3
1,Alaska ,1119,567,553,23
2,Arizona ,1181,592,589,11
3,Arkansas ,1194,610,584,2
4,California ,1057,527,530,24
5,Colorado ,1072,544,528,56
6,Connecticut ,1072,545,527,69
7,Delaware ,984,499,485,96
8,District Of Columbia ,987,500,487,90
9,Florida ,993,513,480,81
10,Georgia ,1086,551,534,41
11,Hawaii ,1144,572,572,26
12,Idaho ,985,502,483,90
13,Illinois ,1007,508,498,80
14,Indiana ,1095,551,544,43
15,Iowa ,1243,623,620,2
16,Kansas ,1243,619,623,2
17,Kentucky ,1219,616,603,2
18,Louisiana ,1188,605,583,3
19,Maine ,1099,558,541,29
20,Maryland ,1073,542,531,47
21,Massachusetts ,1184,591,593,34
22,Michigan ,1031,523,508,68
23,Minnesota ,1263,626,636,2
24,Mississippi ,1202,612,589,1
25,Missouri ,1219,614,606,2
26,Montana ,1225,618,607,5
27,Nebraska ,1246,625,620,2
28,Nevada ,1195,596,598,4
29,New Hampshire ,1065,540,526,71
30,New Jersey ,1125,562,563,48
31,New Mexico ,996,508,488,30
32,New York ,1057,526,531,55
33,North Carolina ,1150,578,571,23
34,North Dakota ,1258,631,628,1
35,Ohio ,1048,525,523,15
36,Oklahoma ,1042,535,507,6
37,Oregon ,1119,565,554,17
38,Pennsylvania ,1123,566,557,39
39,Rhode Island ,1011,514,497,68
40,South Carolina ,1036,529,507,48
41,South Dakota ,1215,605,610,1
42,Tennessee ,1220,618,602,4
43,Texas ,1003,505,498,59
44,Utah ,1238,621,617,1
45,Vermont ,1124,571,553,41
46,Virginia ,1151,584,567,41
47,Washington ,1072,537,535,27
48,West Virginia ,1007,520,487,45
49,Wisconsin ,1215,604,611,1
50,Wyoming ,1233,626,607,2
